Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SR,Spire Inc. Common Stock,$56.92,-0.24,-0.42%,2994170615.00,United States,,232820,Utilities,Oil/Gas Transmission
SRCL,Stericycle Inc. Common Stock,$43.04,1.13,2.696%,3982206749.00,United States,1996,409147,Utilities,Environmental Services
SRE,DBA Sempra Common Stock,$70.34,0.77,1.107%,44266935600.00,United States,,3456988,Utilities,Oil/Gas Transmission
SREA,DBA Sempra 5.750% Junior Subordinated Notes due 2079,$23.32,0.00,0.00%,14675930313.00,United States,2019,19380,Utilities,Natural Gas Distribution
SWX,Southwest Gas Holdings Inc. Common Stock (DE),$57.76,-0.49,-0.841%,4130938884.00,United States,,361516,Utilities,Oil & Gas Production
TAC,TransAlta Corporation Ordinary Shares,$8.26,0.07,0.855%,2175684000.00,Canada,,404422,Utilities,Electric Utilities: Central
TGS,Transportadora de Gas del Sur SA TGS Common Stock,$10.23,0.20,1.994%,1540149129.00,Argentina,,182543,Utilities,Natural Gas Distribution
TRGP,Targa Resources Inc. Common Stock,$84.56,0.87,1.04%,18854816736.00,United States,2010,1179062,Utilities,Natural Gas Distribution
TVC,Tennessee Valley Authority Common Stock,$21.65,0.01,0.046%,236770679.00,United States,,10492,Utilities,Electric Utilities: Central
TVE,Tennessee Valley Authority,$21.17,0.09,0.427%,16849754267.00,United States,,5361,Utilities,Electric Utilities: Central
UGI,UGI Corporation Common Stock,$20.62,-0.28,-1.34%,4319452320.00,United States,,1668740,Utilities,Natural Gas Distribution
UGIC,UGI Corporation Corporate Units,$51.00,-0.8999,-1.734%,10683417474.00,United States,2021,1843,Utilities,Natural Gas Distribution
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),$4.69,0.02,0.428%,5107476115.00,Brazil,,1768141,Utilities,Oil/Gas Transmission
USAC,USA Compression Partners LP Common Units Representing Limited Partner Interests,$25.93,0.00,0.00%,2548899423.00,United States,2013,221255,Utilities,Natural Gas Distribution
UTL,UNITIL Corporation Common Stock,$48.23,0.14,0.291%,776418308.00,United States,1985,45397,Utilities,Power Generation
VIA,Via Renewables Inc. Class A Common Stock,$7.41,0.32,4.513%,53594314.00,United States,2014,19418,Utilities,Power Generation
VIASP,Via Renewables Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,$19.68,0.39,2.022%,142339556.00,United States,,5216,Utilities,Power Generation
VST,Vistra Corp. Common Stock,$34.48,-0.08,-0.231%,12328404580.00,,,2718969,Utilities,Electric Utilities: Central
VVPR,VivoPower International PLC Ordinary Shares,$1.87,0.03,1.63%,4822405.00,United Kingdom,,5783,Utilities,Power Generation
WAVE,Eco Wave Power Global AB (publ) American Depositary Shares,$2.09,-0.19,-8.333%,11599500.00,Israel,2021,4972,Utilities,Electric Utilities: Central
WCN,Waste Connections Inc. Common Shares,$130.54,0.04,0.031%,33621231658.00,Canada,,1291236,Utilities,Power Generation
WEC,WEC Energy Group Inc. Common Stock,$80.31,0.68,0.854%,25332547185.00,United States,,1993358,Utilities,Power Generation
WES,Western Midstream Partners LP Common Units Representing Limited Partner Interests,$27.36,0.15,0.551%,10383567856.00,United States,2012,643316,Utilities,Natural Gas Distribution
WM,Waste Management Inc. Common Stock,$171.77,1.71,1.006%,69184735096.00,United States,,1610243,Utilities,Environmental Services
WMB,Williams Companies Inc. (The) Common Stock,$34.88,0.04,0.115%,42431473679.00,United States,,6033336,Utilities,Natural Gas Distribution
WTRG,Essential Utilities Inc. Common Stock,$33.67,-0.20,-0.59%,9197493058.00,United States,,1090359,Utilities,Water Supply
XEL,Xcel Energy Inc. Common Stock,$59.20,0.50,0.852%,32667526085.00,United States,,2863583,Utilities,Power Generation
YORW,York Water Company (The) Common Stock,$36.53,-0.24,-0.653%,523173929.00,United States,,26924,Utilities,Water Supply
